ConfigID,Benchmark,Elements,Subsets,k,numParticles,maxIterations,c1,c2,w,AvgCoverage,AvgTime(ms)
5,scpb3.txt,3000,300,12,20,200,0.5,1.5,0.5,1483.2,294.0
5,scpc1.txt,4000,400,16,20,200,0.5,1.5,0.5,1221.6,339.6
5,scpc2.txt,4000,400,16,20,200,0.5,1.5,0.5,1222.0,357.4
5,scpc3.txt,4000,400,16,20,200,0.5,1.5,0.5,1221.4,340.4
6,scp41.txt,1000,200,8,20,200,0.5,1.5,0.8,208.8,126.8
6,scp42.txt,1000,200,8,20,200,0.5,1.5,0.8,200.0,120.4
6,scp43.txt,1000,200,8,20,200,0.5,1.5,0.8,200.0,137.2
6,scp44.txt,1000,200,8,20,200,0.5,1.5,0.8,205.4,111.2
6,scp410.txt,1000,200,8,20,200,0.5,1.5,0.8,208.6,150.0
6,scpa1.txt,3000,300,12,20,200,0.5,1.5,0.8,760.0,217.2
6,scpa2.txt,3000,300,12,20,200,0.5,1.5,0.8,758.2,222.6
6,scpa3.txt,3000,300,12,20,200,0.5,1.5,0.8,761.4,216.8
6,scpa4.txt,3000,300,12,20,200,0.5,1.5,0.8,760.0,224.8
6,scpa5.txt,3000,300,12,20,200,0.5,1.5,0.8,763.4,242.2
6,scpb1.txt,3000,300,12,20,200,0.5,1.5,0.8,1508.8,278.2
6,scpb2.txt,3000,300,12,20,200,0.5,1.5,0.8,1520.4,285.4
6,scpb3.txt,3000,300,12,20,200,0.5,1.5,0.8,1514.0,299.0
6,scpc1.txt,4000,400,16,20,200,0.5,1.5,0.8,1250.6,324.6
6,scpc2.txt,4000,400,16,20,200,0.5,1.5,0.8,1253.4,348.0
6,scpc3.txt,4000,400,16,20,200,0.5,1.5,0.8,1254.8,362.6
7,scp41.txt,1000,200,8,20,200,0.5,2.5,0.2,195.6,120.8
7,scp42.txt,1000,200,8,20,200,0.5,2.5,0.2,187.2,122.8
7,scp43.txt,1000,200,8,20,200,0.5,2.5,0.2,191.0,134.0
7,scp44.txt,1000,200,8,20,200,0.5,2.5,0.2,191.4,117.0
7,scp410.txt,1000,200,8,20,200,0.5,2.5,0.2,192.0,120.8
7,scpa1.txt,3000,300,12,20,200,0.5,2.5,0.2,726.2,238.0
7,scpa2.txt,3000,300,12,20,200,0.5,2.5,0.2,735.0,249.6
7,scpa3.txt,3000,300,12,20,200,0.5,2.5,0.2,732.0,231.8
7,scpa4.txt,3000,300,12,20,200,0.5,2.5,0.2,732.6,236.0
7,scpa5.txt,3000,300,12,20,200,0.5,2.5,0.2,730.8,235.6
7,scpb1.txt,3000,300,12,20,200,0.5,2.5,0.2,1480.2,309.0
7,scpb2.txt,3000,300,12,20,200,0.5,2.5,0.2,1476.0,286.6
7,scpb3.txt,3000,300,12,20,200,0.5,2.5,0.2,1481.2,285.2
7,scpc1.txt,4000,400,16,20,200,0.5,2.5,0.2,1216.4,358.8
7,scpc2.txt,4000,400,16,20,200,0.5,2.5,0.2,1212.8,349.2
7,scpc3.txt,4000,400,16,20,200,0.5,2.5,0.2,1218.6,349.2
8,scp41.txt,1000,200,8,20,200,0.5,2.5,0.5,197.4,140.4
8,scp42.txt,1000,200,8,20,200,0.5,2.5,0.5,192.0,116.4
8,scp43.txt,1000,200,8,20,200,0.5,2.5,0.5,193.8,142.0
8,scp44.txt,1000,200,8,20,200,0.5,2.5,0.5,195.6,138.8
8,scp410.txt,1000,200,8,20,200,0.5,2.5,0.5,198.0,135.2
8,scpa1.txt,3000,300,12,20,200,0.5,2.5,0.5,740.0,222.8
8,scpa2.txt,3000,300,12,20,200,0.5,2.5,0.5,743.4,246.8
8,scpa3.txt,3000,300,12,20,200,0.5,2.5,0.5,748.2,232.2
8,scpa4.txt,3000,300,12,20,200,0.5,2.5,0.5,741.6,221.6
8,scpa5.txt,3000,300,12,20,200,0.5,2.5,0.5,744.6,225.6
8,scpb1.txt,3000,300,12,20,200,0.5,2.5,0.5,1493.0,303.8
8,scpb2.txt,3000,300,12,20,200,0.5,2.5,0.5,1488.8,283.0
8,scpb3.txt,3000,300,12,20,200,0.5,2.5,0.5,1489.6,299.2
8,scpc1.txt,4000,400,16,20,200,0.5,2.5,0.5,1223.4,331.0
8,scpc2.txt,4000,400,16,20,200,0.5,2.5,0.5,1231.2,352.4
8,scpc3.txt,4000,400,16,20,200,0.5,2.5,0.5,1230.0,328.6
9,scp41.txt,1000,200,8,20,200,0.5,2.5,0.8,206.8,111.8
9,scp42.txt,1000,200,8,20,200,0.5,2.5,0.8,195.8,109.2
9,scp43.txt,1000,200,8,20,200,0.5,2.5,0.8,199.0,115.6
9,scp44.txt,1000,200,8,20,200,0.5,2.5,0.8,207.4,137.0
9,scp410.txt,1000,200,8,20,200,0.5,2.5,0.8,207.6,107.8
9,scpa1.txt,3000,300,12,20,200,0.5,2.5,0.8,766.4,217.2
9,scpa2.txt,3000,300,12,20,200,0.5,2.5,0.8,755.0,215.6
9,scpa3.txt,3000,300,12,20,200,0.5,2.5,0.8,755.4,218.8
9,scpa4.txt,3000,300,12,20,200,0.5,2.5,0.8,759.4,247.4
9,scpa5.txt,3000,300,12,20,200,0.5,2.5,0.8,755.8,234.8
9,scpb1.txt,3000,300,12,20,200,0.5,2.5,0.8,1509.2,276.2
9,scpb2.txt,3000,300,12,20,200,0.5,2.5,0.8,1513.4,282.8
9,scpb3.txt,3000,300,12,20,200,0.5,2.5,0.8,1510.8,305.0
9,scpc1.txt,4000,400,16,20,200,0.5,2.5,0.8,1255.8,324.2
9,scpc2.txt,4000,400,16,20,200,0.5,2.5,0.8,1254.8,321.4
9,scpc3.txt,4000,400,16,20,200,0.5,2.5,0.8,1249.0,347.2
10,scp41.txt,1000,200,8,20,200,1.5,0.5,0.2,192.0,129.0
10,scp42.txt,1000,200,8,20,200,1.5,0.5,0.2,184.2,127.4
10,scp43.txt,1000,200,8,20,200,1.5,0.5,0.2,187.4,138.4
10,scp44.txt,1000,200,8,20,200,1.5,0.5,0.2,192.8,127.2
10,scp410.txt,1000,200,8,20,200,1.5,0.5,0.2,188.8,124.0
10,scpa1.txt,3000,300,12,20,200,1.5,0.5,0.2,724.0,279.2
10,scpa2.txt,3000,300,12,20,200,1.5,0.5,0.2,724.2,234.2
10,scpa3.txt,3000,300,12,20,200,1.5,0.5,0.2,725.4,239.2
10,scpa4.txt,3000,300,12,20,200,1.5,0.5,0.2,727.2,245.8
10,scpa5.txt,3000,300,12,20,200,1.5,0.5,0.2,730.4,261.8
10,scpb1.txt,3000,300,12,20,200,1.5,0.5,0.2,1477.6,297.0
10,scpb2.txt,3000,300,12,20,200,1.5,0.5,0.2,1478.6,295.0
10,scpb3.txt,3000,300,12,20,200,1.5,0.5,0.2,1480.2,315.6
10,scpc1.txt,4000,400,16,20,200,1.5,0.5,0.2,1211.4,343.2
10,scpc2.txt,4000,400,16,20,200,1.5,0.5,0.2,1212.2,344.0
10,scpc3.txt,4000,400,16,20,200,1.5,0.5,0.2,1216.8,390.6
11,scp41.txt,1000,200,8,20,200,1.5,0.5,0.5,193.0,122.6
11,scp42.txt,1000,200,8,20,200,1.5,0.5,0.5,186.8,127.4
11,scp43.txt,1000,200,8,20,200,1.5,0.5,0.5,188.4,128.4
11,scp44.txt,1000,200,8,20,200,1.5,0.5,0.5,191.8,169.2
11,scp410.txt,1000,200,8,20,200,1.5,0.5,0.5,194.2,149.8
11,scpa1.txt,3000,300,12,20,200,1.5,0.5,0.5,734.2,277.6
11,scpa2.txt,3000,300,12,20,200,1.5,0.5,0.5,729.0,238.0
11,scpa3.txt,3000,300,12,20,200,1.5,0.5,0.5,729.2,231.8
11,scpa4.txt,3000,300,12,20,200,1.5,0.5,0.5,733.6,247.2
11,scpa5.txt,3000,300,12,20,200,1.5,0.5,0.5,736.4,255.2
11,scpb1.txt,3000,300,12,20,200,1.5,0.5,0.5,1479.2,339.0
11,scpb2.txt,3000,300,12,20,200,1.5,0.5,0.5,1480.4,349.6
11,scpb3.txt,3000,300,12,20,200,1.5,0.5,0.5,1486.6,376.0
11,scpc1.txt,4000,400,16,20,200,1.5,0.5,0.5,1219.6,366.2
11,scpc2.txt,4000,400,16,20,200,1.5,0.5,0.5,1207.8,458.6
11,scpc3.txt,4000,400,16,20,200,1.5,0.5,0.5,1208.2,347.0
12,scp41.txt,1000,200,8,20,200,1.5,0.5,0.8,206.8,126.0
12,scp42.txt,1000,200,8,20,200,1.5,0.5,0.8,197.6,120.4
12,scp43.txt,1000,200,8,20,200,1.5,0.5,0.8,197.0,116.4
12,scp44.txt,1000,200,8,20,200,1.5,0.5,0.8,203.6,115.4
12,scp410.txt,1000,200,8,20,200,1.5,0.5,0.8,205.4,115.0
12,scpa1.txt,3000,300,12,20,200,1.5,0.5,0.8,753.2,284.8
12,scpa2.txt,3000,300,12,20,200,1.5,0.5,0.8,752.4,262.8
12,scpa3.txt,3000,300,12,20,200,1.5,0.5,0.8,751.6,221.0
12,scpa4.txt,3000,300,12,20,200,1.5,0.5,0.8,754.0,332.4
12,scpa5.txt,3000,300,12,20,200,1.5,0.5,0.8,753.4,341.6
12,scpb1.txt,3000,300,12,20,200,1.5,0.5,0.8,1510.8,299.6
12,scpb2.txt,3000,300,12,20,200,1.5,0.5,0.8,1498.8,298.4
12,scpb3.txt,3000,300,12,20,200,1.5,0.5,0.8,1498.6,319.2
12,scpc1.txt,4000,400,16,20,200,1.5,0.5,0.8,1249.4,327.2
12,scpc2.txt,4000,400,16,20,200,1.5,0.5,0.8,1239.6,336.8
12,scpc3.txt,4000,400,16,20,200,1.5,0.5,0.8,1240.0,341.6
13,scp41.txt,1000,200,8,20,200,1.5,1.5,0.2,192.6,122.4
13,scp42.txt,1000,200,8,20,200,1.5,1.5,0.2,185.4,135.0
13,scp43.txt,1000,200,8,20,200,1.5,1.5,0.2,188.2,138.8
13,scp44.txt,1000,200,8,20,200,1.5,1.5,0.2,193.2,121.0
13,scp410.txt,1000,200,8,20,200,1.5,1.5,0.2,192.8,133.2
13,scpa1.txt,3000,300,12,20,200,1.5,1.5,0.2,733.4,251.0
13,scpa2.txt,3000,300,12,20,200,1.5,1.5,0.2,731.4,234.6
13,scpa3.txt,3000,300,12,20,200,1.5,1.5,0.2,737.4,234.0
13,scpa4.txt,3000,300,12,20,200,1.5,1.5,0.2,731.0,242.8
13,scpa5.txt,3000,300,12,20,200,1.5,1.5,0.2,737.4,262.6
13,scpb1.txt,3000,300,12,20,200,1.5,1.5,0.2,1483.2,285.0
13,scpb2.txt,3000,300,12,20,200,1.5,1.5,0.2,1478.2,288.2
13,scpb3.txt,3000,300,12,20,200,1.5,1.5,0.2,1484.4,311.4
13,scpc1.txt,4000,400,16,20,200,1.5,1.5,0.2,1216.2,334.4
13,scpc2.txt,4000,400,16,20,200,1.5,1.5,0.2,1211.0,344.6
13,scpc3.txt,4000,400,16,20,200,1.5,1.5,0.2,1211.0,363.2
14,scp41.txt,1000,200,8,20,200,1.5,1.5,0.5,199.6,121.4
14,scp42.txt,1000,200,8,20,200,1.5,1.5,0.5,192.0,138.6
14,scp43.txt,1000,200,8,20,200,1.5,1.5,0.5,194.0,118.8
14,scp44.txt,1000,200,8,20,200,1.5,1.5,0.5,199.2,119.0
14,scp410.txt,1000,200,8,20,200,1.5,1.5,0.5,198.0,119.6
14,scpa1.txt,3000,300,12,20,200,1.5,1.5,0.5,745.6,261.6
14,scpa2.txt,3000,300,12,20,200,1.5,1.5,0.5,739.8,237.6
14,scpa3.txt,3000,300,12,20,200,1.5,1.5,0.5,743.2,224.4
14,scpa4.txt,3000,300,12,20,200,1.5,1.5,0.5,742.6,230.6
14,scpa5.txt,3000,300,12,20,200,1.5,1.5,0.5,737.2,224.6
14,scpb1.txt,3000,300,12,20,200,1.5,1.5,0.5,1495.8,302.0
14,scpb2.txt,3000,300,12,20,200,1.5,1.5,0.5,1487.4,281.4
14,scpb3.txt,3000,300,12,20,200,1.5,1.5,0.5,1492.0,285.8
14,scpc1.txt,4000,400,16,20,200,1.5,1.5,0.5,1234.2,358.6
14,scpc2.txt,4000,400,16,20,200,1.5,1.5,0.5,1219.8,351.8
14,scpc3.txt,4000,400,16,20,200,1.5,1.5,0.5,1231.4,328.6
15,scp41.txt,1000,200,8,20,200,1.5,1.5,0.8,208.0,135.2
15,scp42.txt,1000,200,8,20,200,1.5,1.5,0.8,202.0,114.0
15,scp43.txt,1000,200,8,20,200,1.5,1.5,0.8,201.4,114.2
15,scp44.txt,1000,200,8,20,200,1.5,1.5,0.8,207.2,112.8
15,scp410.txt,1000,200,8,20,200,1.5,1.5,0.8,210.4,111.6
15,scpa1.txt,3000,300,12,20,200,1.5,1.5,0.8,770.4,219.8
15,scpa2.txt,3000,300,12,20,200,1.5,1.5,0.8,767.2,222.0
15,scpa3.txt,3000,300,12,20,200,1.5,1.5,0.8,765.4,244.4
15,scpa4.txt,3000,300,12,20,200,1.5,1.5,0.8,768.6,223.6
15,scpa5.txt,3000,300,12,20,200,1.5,1.5,0.8,764.4,220.0
15,scpb1.txt,3000,300,12,20,200,1.5,1.5,0.8,1524.8,304.0
15,scpb2.txt,3000,300,12,20,200,1.5,1.5,0.8,1519.4,322.6
15,scpb3.txt,3000,300,12,20,200,1.5,1.5,0.8,1517.4,282.0
15,scpc1.txt,4000,400,16,20,200,1.5,1.5,0.8,1261.0,325.4
15,scpc2.txt,4000,400,16,20,200,1.5,1.5,0.8,1250.6,349.8
15,scpc3.txt,4000,400,16,20,200,1.5,1.5,0.8,1256.8,329.6
16,scp41.txt,1000,200,8,20,200,1.5,2.5,0.2,195.6,123.0
16,scp42.txt,1000,200,8,20,200,1.5,2.5,0.2,188.8,119.8
16,scp43.txt,1000,200,8,20,200,1.5,2.5,0.2,191.6,118.4
16,scp44.txt,1000,200,8,20,200,1.5,2.5,0.2,196.2,147.6
16,scp410.txt,1000,200,8,20,200,1.5,2.5,0.2,197.6,121.4
16,scpa1.txt,3000,300,12,20,200,1.5,2.5,0.2,734.0,233.6
16,scpa2.txt,3000,300,12,20,200,1.5,2.5,0.2,737.4,268.6
16,scpa3.txt,3000,300,12,20,200,1.5,2.5,0.2,745.6,225.4
16,scpa4.txt,3000,300,12,20,200,1.5,2.5,0.2,732.6,260.0
16,scpa5.txt,3000,300,12,20,200,1.5,2.5,0.2,740.6,230.6
16,scpb1.txt,3000,300,12,20,200,1.5,2.5,0.2,1487.4,287.0
16,scpb2.txt,3000,300,12,20,200,1.5,2.5,0.2,1486.0,292.6
16,scpb3.txt,3000,300,12,20,200,1.5,2.5,0.2,1484.0,304.6
16,scpc1.txt,4000,400,16,20,200,1.5,2.5,0.2,1225.6,329.2
16,scpc2.txt,4000,400,16,20,200,1.5,2.5,0.2,1217.0,335.2
16,scpc3.txt,4000,400,16,20,200,1.5,2.5,0.2,1212.0,368.4
17,scp41.txt,1000,200,8,20,200,1.5,2.5,0.5,201.2,119.4
17,scp42.txt,1000,200,8,20,200,1.5,2.5,0.5,196.4,117.6
